comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgwHDaHiC_wTPwv0yn54AaABAg,@Gyovana_Silva_Ferreira,UgwHDaHiC_wTPwv0yn54AaABAg.ATXvcgYrBViATXwK87vFwJ,@Jamily7145,"Mais tbm n precisa falar desses jeito, imagina se fosse vc no lugar deles😢",0,2026-02-22T17:50:51Z
UgwHDaHiC_wTPwv0yn54AaABAg,@Gyovana_Silva_Ferreira,UgwHDaHiC_wTPwv0yn54AaABAg.ATXvcgYrBViATXwg4agPQO,@arthurdaniel2171,Nn e só pq o cara e pobre q vc precisa falar dele assim,0,2026-02-22T17:53:59Z
UgwHDaHiC_wTPwv0yn54AaABAg,@Gyovana_Silva_Ferreira,UgwHDaHiC_wTPwv0yn54AaABAg.ATXvcgYrBViATXwvCO4O78,@Gyovana_Silva_Ferreira,Deus me livre ser pobre eu tenho 50 m na conta 500 mil na conta dos meus pais e do meu irmão 50 mil também e sou rica tenho uma mansão e 5 casas,0,2026-02-22T17:56:03Z
UgwHDaHiC_wTPwv0yn54AaABAg,@Gyovana_Silva_Ferreira,UgwHDaHiC_wTPwv0yn54AaABAg.ATXvcgYrBViATXxAAtBJbH,@janis1610,Tá bom RIQUINHA MIMADA SE NÃO SABE DE RESPEITO?🤨💅✨️ desculpa desculpa  mas MAS SE É UMA FILHINHA DE PAPAI DESSE JEITO,0,2026-02-22T17:58:14Z
UgwHDaHiC_wTPwv0yn54AaABAg,@Gyovana_Silva_Ferreira,UgwHDaHiC_wTPwv0yn54AaABAg.ATXvcgYrBViATXy0pdSuUa,@MariDonascimento-r3w,A vai te lasca eu acho que tu tá falando de você🤨💅,0,2026-02-22T18:05:41Z
Ugw8Zbrmps8DbvQslUF4AaABAg,@tassiabatista1729,Ugw8Zbrmps8DbvQslUF4AaABAg.ATXnZHsdu6CATZGEx2CZtM,@umameninaotaku_ofcYT,O vídeo n é originalmente dele é do Morimura,0,2026-02-23T06:12:53Z
