comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
Ugw8-2g-l18sZCsz8LZ4AaABAg,@AndreiaBueno-u6u,Ugw8-2g-l18sZCsz8LZ4AaABAg.ATVP23x_mTUATY4hjUhOT1,@JosePedroalvesdelima-l4z,???,0,2026-02-22T19:12:51Z
Ugw8-2g-l18sZCsz8LZ4AaABAg,@AndreiaBueno-u6u,Ugw8-2g-l18sZCsz8LZ4AaABAg.ATVP23x_mTUATYhuMBckJ1,@julianaathanazio1893,Kakakakakakaka😂😂😂😂,0,2026-02-23T01:04:06Z
Ugyv-trU2o9tH2GkwYV4AaABAg,@MaríaEduardaFelx,Ugyv-trU2o9tH2GkwYV4AaABAg.ATTsWisiiOzATW-LYUqqhQ,@LiviaAraújo-s6c,Tora kkk,0,2026-02-21T23:47:31Z
UgyC-LR3D_50puuVM194AaABAg,@andrialeal-ok7el,UgyC-LR3D_50puuVM194AaABAg.ATTFvgbWvKOATTG-_Ck8cq,@andrialeal-ok7el,Obrigada pelo like que eu mesma dei 😢,2,2026-02-20T22:15:20Z
UgyC-LR3D_50puuVM194AaABAg,@andrialeal-ok7el,UgyC-LR3D_50puuVM194AaABAg.ATTFvgbWvKOATW6-x92mJc,@AlexandredeOliveira-i1l,Rh,0,2026-02-22T00:45:44Z
Ugy6LocFVBIFTQyPGmR4AaABAg,@PedroIram-j4r,Ugy6LocFVBIFTQyPGmR4AaABAg.ATR-JZd_Zj-ATSs01rC6SN,@RaabePutinidaSilva,Pegoretti dos piratas e agora ficou com autismo que burro hein agora tô começando a perder meu foco dele não tô gostando mais dele,0,2026-02-20T18:36:57Z
Ugy-7NhpnnwB_o_KIBF4AaABAg,@anacarolinamagalhaes5087,Ugy-7NhpnnwB_o_KIBF4AaABAg.ATQIFh-iVhZATQf1szfDY-,@CleuseniCarvalho-b3t,Duneida vei,1,2026-02-19T22:05:08Z
Ugz6r4k5ZIv9zgeGg_B4AaABAg,@DhyanaBarbosa,Ugz6r4k5ZIv9zgeGg_B4AaABAg.ATQ4FhBBWzMATRUgRFDAD3,@ManuelaAparecida-r8d,queria ingravida=/,0,2026-02-20T05:45:11Z
