comment_id,author,text,like_count,published_at,reply_count
UgwjEGDZAfoZsKY2_1N4AaABAg,@MiguelLima-x1v,Kkkkkkkk gostei muito 😂😂😂,0,2026-02-18T00:56:08Z,0
UgzZnjfYo6kFrdFKN0R4AaABAg,@VitoriaMatos-cb8tj,kakakakakkakakakak,1,2026-02-17T16:43:04Z,0
Ugz3lpmMN86parElZfl4AaABAg,@camilasouza6163,😢🧟‍♂️,2,2026-02-16T21:36:07Z,0
UgxcNkYHCaKQT9kLeQ94AaABAg,@godizilaearthcarlinhos6335,O vídeo de cima era desses dois aí,4,2026-02-16T19:35:12Z,1
UgyiZvHK81wFZ8kqqfh4AaABAg,@jozó67brairot,O senho abençoe ❤❤❤,5,2026-02-16T17:36:49Z,1
UgxkNcdS28LyI0Wp3RZ4AaABAg,@ThomasHenrique-k5g,😢,11,2026-02-15T00:40:13Z,0
