comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgyaagotkTeeHLP-9Tt4AaABAg,@AliceDellAgnesedeSouza,UgyaagotkTeeHLP-9Tt4AaABAg.ARXVOnMk0DgARkP_ttpxht,@AnaKarolynaPereiraMelo,O último me quebrou 😂😂,11,2026-01-09T06:22:37Z
UgyaagotkTeeHLP-9Tt4AaABAg,@AliceDellAgnesedeSouza,UgyaagotkTeeHLP-9Tt4AaABAg.ARXVOnMk0DgARnsG0LkjCI,@SureneSuriela,😂😂😂😂😂,2,2026-01-10T14:39:38Z
UgyaagotkTeeHLP-9Tt4AaABAg,@AliceDellAgnesedeSouza,UgyaagotkTeeHLP-9Tt4AaABAg.ARXVOnMk0DgARu9zvk2cFK,@leilianelopes2284,Sim ela acabou de passar na porta da minha casa kkkkkk😂,7,2026-01-13T01:18:46Z
UgyaagotkTeeHLP-9Tt4AaABAg,@AliceDellAgnesedeSouza,UgyaagotkTeeHLP-9Tt4AaABAg.ARXVOnMk0DgARw7JtSBPYW,@crismatarazzo8877,😂😂😂,1,2026-01-13T19:33:54Z
UgyaagotkTeeHLP-9Tt4AaABAg,@AliceDellAgnesedeSouza,UgyaagotkTeeHLP-9Tt4AaABAg.ARXVOnMk0DgARz5pRRfqA4,@RaposaPulguenta,foi em quem 👹👹👹👹👹,2,2026-01-14T23:18:35Z
UgwMiQ88SImsDqPbc6R4AaABAg,@AndreyJoséDeSouza,UgwMiQ88SImsDqPbc6R4AaABAg.ARXHSWXSmnEARtyAU-n7jo,@Lilian-w9f4j,"Não ,Pincher é tranquilo ,esses são fracos ,feios e zoiudos e estressados ,são misturas ,vira latas",0,2026-01-12T23:26:45Z
UgyLwpEA_hr0j5Sv8wF4AaABAg,@claudiorocha992,UgyLwpEA_hr0j5Sv8wF4AaABAg.ARX8q2uxgsfARXOoloRad8,@hislanialima3704,KAKA,13,2026-01-03T19:46:33Z
UgyLwpEA_hr0j5Sv8wF4AaABAg,@claudiorocha992,UgyLwpEA_hr0j5Sv8wF4AaABAg.ARX8q2uxgsfARXSSnRDp7a,@BrigidaChurqui,Eu rachei kakakakkakakaka😂😂😂😂😂😂,8,2026-01-03T20:18:22Z
UgyLwpEA_hr0j5Sv8wF4AaABAg,@claudiorocha992,UgyLwpEA_hr0j5Sv8wF4AaABAg.ARX8q2uxgsfARXWnxwCOC2,@emillysouza8162,eu quase tava morrendo de rir desse primeiro kakakKAKAKAKKAKA,6,2026-01-03T20:56:20Z
UgyLwpEA_hr0j5Sv8wF4AaABAg,@claudiorocha992,UgyLwpEA_hr0j5Sv8wF4AaABAg.ARX8q2uxgsfARXnTGUK-5Z,@CarolValentim-vr5nq,o bixo virando o capeta😂😂😂😂😂😂😂😂😂😂😂😂😂😂,8,2026-01-03T23:30:40Z
UgyLwpEA_hr0j5Sv8wF4AaABAg,@claudiorocha992,UgyLwpEA_hr0j5Sv8wF4AaABAg.ARX8q2uxgsfARXtlenIakC,@Cinco_trevos,​@CarolValentim-vr5nq Bicho*,3,2026-01-04T00:25:44Z
