author,text,like_count,published_at
@ercivaldogama2008,Ele é doido,0,2026-01-28T23:49:45Z
@nadirleitesantos1936,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2026-01-28T22:07:09Z
@mailsonfrancadesales2467,Horrível ele fica falando desse jeito caraca velho tu é doido,0,2026-01-28T21:55:32Z
@rosangelaxavier9226,a eleven e menina,0,2026-01-28T21:09:40Z
@LuizFernandes-e2w,Ele me lembra o Jonathan byers,0,2026-01-28T17:14:03Z
@danielamachado147,Kkkkkkkk 😂,0,2026-01-28T15:29:21Z
@MarcoCortez-h7t,Eleven?,0,2026-01-28T07:06:28Z
@kerolynflores2341,Alô uau,0,2026-01-28T04:57:57Z
@ElizandraMaira,Oi,0,2026-01-28T01:46:44Z
@ElizandraMaira,Oi,0,2026-01-28T01:46:34Z
@BHSushi,😮😮😮😮 eu também quero kkkk😂😂,0,2026-01-27T22:08:27Z
@SonicFlex-y3m,Eu n comi a inda deve ser bom 😂,0,2026-01-27T21:52:19Z
@MariaJúliaRodrigues-o3j,😂,0,2026-01-27T21:34:52Z
@gilmarneris4571,"""Eu sou a eleven"",, não tankei,kkk😂",0,2026-01-27T17:55:11Z
@JorgeRosario-k1v,"Eu sou a elevem💅
Uma BATATA😮💅",0,2026-01-27T13:23:52Z
@danielbernabe7261,🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😂😂😂😂😅😅😅😅❤,0,2026-01-27T00:56:56Z
@marcosmederix2252,Idiota,0,2026-01-26T22:59:58Z
@darkizinho288,mano eu gosto eu quero ainn que dilicia,0,2026-01-26T22:18:10Z
@CeiaBarbosa-k9j,Hahahahahahahah muito ingrasado,0,2026-01-26T19:41:16Z
@meninaluísa,Você acha mesmo que eu sou burra a sua mãe levantou a câmera e você fingiu que tava levantando a câmera nós,0,2026-01-26T18:50:50Z
@LucasSantos-y4g8f,Só se só se for a eleven menino,0,2026-01-26T17:52:17Z
@CarinaAlexandrino-r3s,MEU DEUS 😂,0,2026-01-26T16:09:12Z
@elianemariairmajosefinaeli1413,Para pá pá pa,0,2026-01-26T05:14:48Z
@LyeersYT,"Já comi um desse só que veio batata frita, milk shake, hambúrguer e coca mas sem ignorância veio isso mesmo kkkkkk",0,2026-01-26T04:47:49Z
@CamilaMelo-d5d,O meu Deus o lanche tá invertido e o vecna,1,2026-01-26T02:04:27Z
@BrunaGuerreiro-z5s,O meu Deus o lanche tá invertido tá ao contrário vou reclamar,0,2026-01-26T00:46:24Z
@taniamarques4633,Mamã mãe você precisa compra mim eu sou um strager  things eu sou a eleven,0,2026-01-25T22:58:17Z
@ArthurSantos-r4b,Porfavo faz vídeo de outra coisa como roube um branrot,0,2026-01-25T19:12:36Z
@ROSAFRAZÃO-u2o,Kkkkkkkkkkkkk😂😂😂😂😂,0,2026-01-25T17:36:38Z
@GabrielaLuz-s7x,Kara toito,0,2026-01-25T01:11:49Z
@filipelima7592,Eu sou a 11😂😅,0,2026-01-25T00:45:38Z
@luziacardoso8585,kkkkkkkkkkk não esperava esse final,0,2026-01-25T00:02:37Z
@DirceBlatt,PORQUE TA ME OLHANO??? MN RACHEI KAPAKAPAKAPAKAPAKAPA😂😂😂,0,2026-01-24T22:35:41Z
@basiliojunior7646,A meu Deus 😂😂😂😂😂😂,0,2026-01-24T21:56:30Z
@SamiraMartins-p8l,EU SOUHH AH ELEVENHH DE STRANGER THIGNS 👁️👄👁️💥💥💥💥🙄🙄🙄💅🏻💅🏻💅🏻💅🏻💅🏻💅🏻💅🏻💅🏻💅🏻💅🏻🙄🙄🙄💥💥💥💥💥💥👁️👄👁️💅🏻💅🏻💅🏻💅🏻💅🏻☺️☺️☺️☺️,1,2026-01-24T20:00:48Z
@ronaldodemelosilva3339,meses.     kkkkkkkk 😂,0,2026-01-24T14:55:10Z
@valsilhalima8571,a cara dele quando ele vira a eleven,0,2026-01-24T14:50:30Z
