author,text,like_count,published_at
@João-444,Eu jurei q o João ia pega o fone e joga longe ou joga no chão achando q era trollagem kkkkkk,0,2026-02-07T22:34:16Z
@LuizOttavio123,Dps eles estragam o fone,0,2026-02-07T22:05:08Z
@CocoaFanX3,"Irmãos Bastos ❌ 

Irmãos Mimados ✔️",0,2026-02-07T21:21:00Z
@karinagrossman2967,Tñ,0,2026-02-07T21:19:51Z
@allpapel3,"""Comprei um fone pro meu irmão""  próximo vídeo "" Quebrei o fone do meu irmão",0,2026-02-07T21:01:02Z
@OBELONIA,"Vídeo seguinte:

Tacando fogo no fone do João, porque ele só joga depois que ganhou o fone",0,2026-02-07T20:53:10Z
@daniloramosfagundes78,"Ele fez cirurgia de que? Pinto... acho que não 😅,  alguém pode ne dizer pls",0,2026-02-07T20:37:48Z
@JoaoPedro-ku6ug,Esse fone não dura nem um mês daqui a pouco eles já vão quebrar esse fone igual fizeram oque fizeram com os outros fones,0,2026-02-07T19:42:09Z
@danielematos5898,Jogando fortnite😂😂,0,2026-02-07T19:34:10Z
@Misaelkzm38,Por favor não continue assim fica com amizade todos os dia,0,2026-02-07T19:20:35Z
@gildacatarino7997,Espero que volte logo o mlk neutro,0,2026-02-07T18:51:59Z
@LuizaCRFF,"espero que ele saida dessa casa, nada que ele faz esta bom.",0,2026-02-07T18:51:14Z
@IsaacLibaneo-i9u,Aí 2 dias depois quebra por vingança,0,2026-02-07T18:42:08Z
@MatheuseditsPalmeiras,Eu quero jogar contra o jean moro em SP campinas,0,2026-02-07T18:39:19Z
@LuigiStrunkis,Não vai quebra que tu que pagou,0,2026-02-07T18:35:57Z
@Diogoqta,"""Ninguém pode roubar a juventude dos jovens ninguém pode""


(Satoro gojo)",4,2026-02-07T18:32:39Z
@miguelcamilo5321,Ele fez cirurgia de q,0,2026-02-07T18:12:19Z
@baconzinho-YT-ofc,Tudo isso pra passar 1 mês o Davi e o Luke congela denovo,0,2026-02-07T18:07:01Z
@DELTAJS,COMPRO FONE PRA DEPOIS COMGELAR DENOVO,0,2026-02-07T17:58:58Z
@DMblox-j1t,É so questão de tempo até eles quebrarem esse daí tbm kkk,0,2026-02-07T17:45:03Z
@JoanaFatima-e1i,❤❤❤❤❤❤❤❤❤❤,0,2026-02-07T17:44:26Z
@Mariaclara-x3h5k,Deus fizer alguma coisa boa com o guri gentexx,0,2026-02-07T17:41:23Z
@jpzinnvz4,Mais um que vão destruir kkkk,0,2026-02-07T17:17:08Z
@almeidazzzzzz,Redragon é elite kkkkkk😂,0,2026-02-07T17:15:43Z
@Gabi-f3t9y,Vei ele mudou muito,0,2026-02-07T17:12:01Z
@LiviaPorto-t6u,Kkkkkkkkk😂😂😂,0,2026-02-07T16:58:35Z
@leandrobao4163,Dávi te desafio pra um x1,0,2026-02-07T16:20:28Z
@RUBIX_BLOX,Pra que dar o fone se vai quebrar dnv,0,2026-02-07T16:13:34Z
@ThayseMedrado,Você pode por favor me ajudar eu não sei se você respondeu não agora por favor me ajuda eu quero entrar nesse time eu não aguento mais ter sorte na escolinha eu sou zagueiro me ajuda,0,2026-02-07T16:05:25Z
@LuisGustavo-u5l,Ele deveria ainda fazer uma vingança contra os irmãos dele por ter congelado o fone🫩😠,1,2026-02-07T16:04:55Z
@JoaoHenrique-wt5pi,Qual foi a cirurgia?,0,2026-02-07T15:48:28Z
@MauricioNetoNascimento,Q cirurgia ele fez,0,2026-02-07T15:21:26Z
@joaopaulo.yomichel,Alguém em 2027?,0,2026-02-07T15:09:39Z
@wendelmatheus5372,Oxi deixa ele a vida é dele n de vcs,0,2026-02-07T14:48:52Z
@PedroDaviCassianoBrasil,Davi seu chato,1,2026-02-07T14:48:11Z
@ArthurAndrade-r4f,Que a gente comprou kkkkk😅,0,2026-02-07T14:45:21Z
@ShinyStudio-q7n,Cirurgia de fimose?,0,2026-02-07T14:27:19Z
