comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
Ugy45pGAkAMFpSMLuJB4AaABAg,@luannasantos5,Ugy45pGAkAMFpSMLuJB4AaABAg.AT1Lg2CFdYKAT3YSgwJzob,@evilaziamiranda7588,Kakakkakakakakakkakaka,0,2026-02-10T22:36:21Z
UgzMOWdxFsBKVjgn2Wh4AaABAg,@raylane3000,UgzMOWdxFsBKVjgn2Wh4AaABAg.AT1EES6H4q_AT3_D5C6JE7,@rozeanesouza1313,💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩kkkkkkkkkkkkkkkkk e com a gente e com a gente e com a gente e com a gente,0,2026-02-10T22:51:42Z
UgwVoEkDtogGGY4I9Mp4AaABAg,@webernizdavidson863,UgwVoEkDtogGGY4I9Mp4AaABAg.AT1CdZ_1HUZAT5m1_lY9vL,@LucasSmith-u9m,✋🍑,0,2026-02-11T19:22:12Z
