author,text,like_count,published_at
@MarilicePulseiras_Ofc,MUAHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHQUEROGOZARHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHQUEROTR4NS4RHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAHHAHAHAHHAHAAHHAHAHAH,0,2026-02-12T04:38:22Z
@MarilicePulseiras_Ofc,"Eu não estou rindo da situações dele, estou rindo por causa dos comentários ksksksks",0,2026-02-12T04:29:56Z
@JoséNathan-i9y,"O cara fez paculo vinculativo de sobreviver,mais ter braço todo esculhambado",0,2026-02-12T04:26:31Z
@PabloLuccas,O Cachorro : esse cara dava na mutante 😂😂😂,0,2026-02-12T04:02:19Z
@Beijos_da_alice,Bem assim,0,2026-02-12T03:46:30Z
@KenedysoaresSoares,"Karalho ia convertessa quem acha que é ia 
👇",0,2026-02-12T02:32:47Z
@mundodejogosdaisa-u8l,Até o cachorro assusto,0,2026-02-12T02:32:32Z
@aventurasdepescador,🫣🫣🫣🫣🫣🫣,0,2026-02-12T02:22:37Z
@lucaspalhanodealbuquerque8541,O cachorro nem meus mano tá pior,0,2026-02-12T02:21:52Z
@VaniaPereira-j8k,😮aaaiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0,2026-02-12T02:20:03Z
