comment_id,author,text,like_count,published_at,reply_count
UgyeyjK_xBxan-fX6214AaABAg,@MariaEduarda-g9j5r,Meu primeiro cll eu tinha 2/3 anos e agora tenho 7😅,0,2026-02-21T16:28:05Z,0
Ugw7AKZuhqh-c3hU7Nh4AaABAg,@Gamerliss-yt8gh,"Meu primeiro cll tive com 5 anos mas não era bem um Cll era um tablete, e agr tenho 10 anos vou fazer 11 em novembro e tenho um iPhone XR",3,2026-02-21T10:55:02Z,2
UgyqcyVV1EVOzEHtrJB4AaABAg,@LíviaRodriguesHortêncio-r3l,Meu primeiro celular eu tive com 6 anos o moto E7 aí agora eu tenho 9 anos vou fazer 10 dia 30 de agosto e eu ganhei um redmi note 14 4G,1,2026-02-21T10:13:50Z,0
UgydaAgol58enfLJpo94AaABAg,@wzx_veigxx,me avisaa qndd viralizarr,2,2026-02-21T08:08:32Z,0
